No;File;Artist;Title;Mood
356;TRAFISO128E07965C7.h5;The Les Humphries Singers;Mexico;sad
357;TRAFITO12903D0D16A.h5;Susana Seivane;Mazurcas das Rías Baixas;sad
358;TRAFIVU128F9330335.h5;Serengeti;Derek Freestyle On Frozen Food Radio;happy
359;TRAFIXF12903CD21EB.h5;Testbild!;The Moorish Café;sad
360;TRAFIXG128F425B3E2.h5;Texas Faggott;Lemuria;happy
361;TRAFIXY12903CE9A70.h5;Comunalien;Bottom of the World;happy
362;TRAFIYC128F4234BC3.h5;Matt Nathanson;More Than This;happy
363;TRAFIYL12903CF1FF4.h5;Extrawelt;Leaf 43;sad
364;TRAFIYO128F92EBFEB.h5;Underneath The Gun;Deathcard;sad
365;TRAFJBH128F9347019.h5;Mariachi Vargas de Tecalitlan;Las Olas;sad
366;TRAFJCB128F92E0CCF.h5;Ricochets;King rocker;sad
367;TRAFJCK128F428B795.h5;The Humpers;13 Forever;sad
368;TRAFJDB128F932EB99.h5;Komeda;Blossom (Got To Get It Out);happy
369;TRAFJEE128EF36232B.h5;Chalino Sanchez;Jose Garcia;happy
370;TRAFJFE128F426478A.h5;Jagged Edge;Can I Get With You;happy
371;TRAFJGH128F146893A.h5;Najee;Saturn / Ebony Eyes;sad
372;TRAFJGW128F14A23E6.h5;Medicine;As You Do;happy
373;TRAFJHE128F42A84CB.h5;Maynard Ferguson;Moonlight In Vermont;sad
374;TRAFJIW128E078E1DE.h5;Black Eyed Peas / Les Nubians / Mos Def;On My Own;sad
375;TRAFJJC128F42A2E05.h5;H-Blockx;Get Out Of The Ring;sad
376;TRAFJJE128F4243461.h5;The Grassmasters;Desperado;sad
377;TRAFJJJ128E078E0B8.h5;Kraftwerk;Elektro Kardiogramm (Live);happy
378;TRAFJKG128F9332800.h5;The Frequency;Ego is the drug/3am;sad
379;TRAFJKT128F9321D9B.h5;Kero One;Check The Blueprints;happy
380;TRAFJKV128F426A00F.h5;The Eternal Afflict;Closer To The Garden;sad
381;TRAFJLO128F92E2BF1.h5;Al Kooper;I Got A Woman;sad
382;TRAFJNR128F42901B8.h5;The Maple State;Cemetery;happy
383;TRAFJPH128F4261B54.h5;Sigur Ros;Sigur 6 (Untitled);sad
384;TRAFJQI128F424F4C2.h5;Magida El Roumi;Bel Alb Khaleeni;sad
385;TRAFJQT12903CAA19E.h5;Giorgos Tsalikis;Apotoma;happy
387;TRAFJRQ128F4249E3C.h5;Joseph Washington;We Thank You;sad
388;TRAFJRQ128F92FCE02.h5;Dashboard Confessional;The Secret's In The Telling;sad
389;TRAFJUG128F92C77B1.h5;Leigh Jones;Have It Your Way;sad
390;TRAFJUM128F428E51C.h5;Wim Mertens;Pranzo;sad
391;TRAFJUW128F427A988.h5;Tania Maria;Vem Pr'a Roda;happy
392;TRAFJVH128F42BC25E.h5;DJ Quik;Pitch In OnA Party;happy
393;TRAFJVI128F428FA50.h5;Massiel;Acordeón;happy
394;TRAFJVL128F4228B7E.h5;John Patitucci;Out Of The Mouths Of Babes;sad
395;TRAFJWH128F4242368.h5;Immolation;Den Of Thieves;sad
396;TRAFJXD128F931D0C4.h5;Micachu;Just In Case;happy
397;TRAFJYL128F9327885.h5;The Radiators;All Meat Off The Same Bone;happy
398;TRAFJYV12903CBFD54.h5;Wig Wam;Daredevil Heat;sad
399;TRAFJZO128F92DCD3B.h5;Jimmy Rogers;Tricky Woman;happy
400;TRAFKAJ128F425D21E.h5;Ron Carter;SOFTLY AS IN A MORNING SUNRISE;sad
401;TRAFKAN128F9308CE7.h5;Gregor Salto;Bouncing Harbour (Hardwell and Rehab remix);sad
402;TRAFKAO128F93036DE.h5;Space Manoeuvres;Zone Two;happy
403;TRAFKBB128F4256B6A.h5;Cassius;Flight Of The Failure;sad
404;TRAFKBR12903D08AAC.h5;LavKastor;E3;sad
405;TRAFKCQ128F93015A3.h5;Larry Coryell;Return;happy
406;TRAFKDF12903D09556.h5;Skeeter Davis;It Was Only A Heart;sad
407;TRAFKDG12903CAB85C.h5;Webb Wilder;Too Cool for Love;happy
408;TRAFKDP128F42311D7.h5;Lucybell;Luces no bélicas;sad
409;TRAFKEI128F92E9F1A.h5;Debby Boone;Sleep My Child;sad
410;TRAFKFP128F93366A1.h5;Atman;Dancing With the Goddess (ttt rmx);sad
411;TRAFKLX12903CE6B51.h5;Fattburger;Heaven;happy
412;TRAFKMH128F92F7B34.h5;Asylum Street Spankers;Blue Prelude;sad
413;TRAFKMJ128F14661D8.h5;Raze;Laying Down My Will (The Plan Album Version);happy
414;TRAFKMN128F9321670.h5;Aes Dana;Caccia Alle Streghe;happy
415;TRAFKMN12903D06837.h5;Ruckus Roboticus;Chicks;happy
416;TRAFKMT128F428941B.h5;Sugarland;Take Me As I Am;sad
417;TRAFKMZ12903CD3AF2.h5;Louis Armstrong;Zat You Santa Claus;happy
418;TRAFKOA128F92F3AA5.h5;Novalima;Machete;happy
419;TRAFKPI128EF357763.h5;Stewart Francke;Across Decker's Field;sad
420;TRAFKPS128E079411D.h5;Dickie Valentine;With These Hands;sad
421;TRAFKPV12903CBDDCF.h5;Barrington Levy;Girls I Like;happy
422;TRAFKQD12903CA5C14.h5;Billy Banks And His Orchestra;Oh Peter (You're So Nice);happy
423;TRAFKQU12903CD19BB.h5;The Supremes / Four Tops;Chain Reaction;happy
424;TRAFKQX128F1459C39.h5;Norman Blake;I Am A Man Of Constant Sorrow;happy
425;TRAFKGJ12903D15D79.h5;Kid Spatula;New School Bikes;happy
426;TRAFKGO12903CFB7A0.h5;Rio Reiser;Schicht;happy
427;TRAFKHA12903CF0E89.h5;Shakedown;At Night;happy
428;TRAFKHF128F932658B.h5;Doleful Lions;White Lotus Day;sad
429;TRAFKII128F1487F99.h5;Biddu;Raag Trance;sad
430;TRAFKIT12903CF3DA8.h5;Art Blakey;Once In A While;happy
431;TRAFKJH128F42A1B08.h5;Phenomden;Jetz isch Ziit;happy
432;TRAFKKD128F149A32E.h5;Lizz Wright;Blue Rose;sad
433;TRAFKKS128F92E3F23.h5;Parachute Band;No Eye Has Seen;happy
434;TRAFKKX128F425EDCA.h5;Luiz Melodia;Juventude Transviada;sad
435;TRAFKLJ128F9331BE6.h5;Leonid Rudenko;Summerfish;happy
436;TRAFKRE128F932002B.h5;All Time Low;Umbrella;happy
437;TRAFKRU12903CC7C42.h5;Jamie Lidell;The Ring;happy
438;TRAFKSA128F930F4FA.h5;5th Ward Boyz;Undercover Gangstas;happy
439;TRAFKTU128F4234726.h5;Bill Perkins;Swing Spring;happy
440;TRAFKTZ128F42B640C.h5;Captain & Tennille;Baby You Still Got It;sad
441;TRAFKUN128F9335D92.h5;Arthur Yoria;P.S.A;happy
442;TRAFKUS128F92D28DC.h5;Bézu;La bite du plombier;happy
443;TRAFKVC128F92F8CF3.h5;Aghast View;Truthlike (Wumpscut Remix);happy
444;TRAFKVM128F9335B48.h5;Joram;rumors of a strange planet;happy
445;TRAFKXU128F429CCFF.h5;Spice Girls;Say You'll Be There (Live);happy
446;TRAFKYF128F9336BBF.h5;Ohio Players;Lonely Streets At Midnight;happy
447;TRAFKYR12903CB4810.h5;Green Day;Know Your Enemy [Live];sad
448;TRAFKZY12903CA7183.h5;Team Doyobi;Thus Jacked Zarathrusta;sad
449;TRAFKGI128F930FA17.h5;Apulanta;006;sad
450;TRAFKQX12903CDBB7F.h5;Speckled Red;I've Got a Feeling That I'm Falling;happy
451;TRAFLVL128F4281CFE.h5;The Unicorns;Ready To Die;sad
452;TRAFLAR128F427FE8D.h5;Spliff;S.O.S.;happy
453;TRAFLAZ12903CABDDF.h5;John Waite;No Brakes;sad
454;TRAFLCB128F427AFDD.h5;Murcof;Cometa;sad
455;TRAFLCO12903CB819B.h5;Los Metalicoz;Ionic;sad
456;TRAFLDI128F428A6BF.h5;Jordan Rudess;Tear Before the Rain;sad
457;TRAFLEF12903CA0DE4.h5;Les Reines Prochaines;Advices To My Child;sad
458;TRAFLFF128F42AD278.h5;Spagna;Gente Come Noi;happy
459;TRAFLFI128F1473499.h5;Queensryche;My Empty Room;sad
460;TRAFLFV128F425AFC2.h5;Craig Chaquico;Acoustic Traveler;sad
461;TRAFLFX128F428A634.h5;Guttermouth;Lucky The Donkey;happy
462;TRAFLFY128F92C637A.h5;Rachel Portman;Bridget;sad
463;TRAFLGI12903CD63B8.h5;Casino Mansion;In The Love You Send;happy
464;TRAFLGM128F9358F47.h5;Miossec;Nos plus belles années;sad
465;TRAFLHL12903CD960B.h5;DeMarco;Bees Hive;happy
466;TRAFLII128F931801C.h5;Jupiter Jones;Weitergehen;sad
467;TRAFLIW128F932652F.h5;Delta 5;Shadow;happy
468;TRAFLKE128F9345209.h5;Air Supply;Every Woman In The World;sad
469;TRAFLLA128F42605C0.h5;Clubbticket;I Believe In Love;happy
470;TRAFLMO128F42905D3.h5;Marlene Kuntz;Ricordo;sad
471;TRAFLMU128F4274A4D.h5;G-Unit;I Don't Want To Talk About It;happy
472;TRAFLNT12903CBBAF7.h5;The Internet;Nuclear Bomb;happy
473;TRAFLNZ128F92FE8CB.h5;Memphis Sheiks;Ramblin' On My Mind;happy
474;TRAFLPG128F42B099A.h5;John Heffron;Things You Should Know;sad
475;TRAFLQM128F92EAD34.h5;George Winston;Highway Hymn Blues;sad
476;TRAFLQP12903CB24A9.h5;Raymond Scott;In An Eighteenth Century Drawing Room;happy
477;TRAFLRD12903CDFF7C.h5;Hermano;Adoption Boy;sad
478;TRAFLSJ128F42581FC.h5;Guilty connector;Nishi - Ogi Punk Waste (Dedicated To Struggle For Pride);sad
479;TRAFLSO12903CCA4FE.h5;Di Leva;Även Dom Har Ett Hjärta;happy
480;TRAFLSV12903CF9074.h5;2econd Class Citizen;The Way I Feel;sad
481;TRAFLSZ12903CF4B68.h5;Kenso;Sora ni hikaru;happy
482;TRAFLTO128F429F819.h5;Secret Service;I'm So I'm So I'm So (I'm So In Love With You);happy
483;TRAFLTU128F932BA9A.h5;Late Night Alumni;The Rest Of You;happy
484;TRAFLUA12903CCCDB1.h5;Bandit;Another Dimension;sad
485;TRAFLUO128F1476C99.h5;Petalpusher;Rely On Me (Jay's Bodega Vocal);happy
486;TRAFLVS12903D035DF.h5;System F;Cry;sad
487;TRAFLVT128F1469F88.h5;LOFOFORA;Incarné;sad
488;TRAFLWG128F4258151.h5;G.B.H.;Dustbin Rock 'N' Roll;sad
489;TRAFLWZ128F930B777.h5;Trey Parker;The Trapper Song;happy
490;TRAFLYI12903CC8A8E.h5;Jocelyn Brown;Somebody Elses Guy;happy
491;TRAFLYL128F932DB93.h5;Atari Teenage Riot;Live At Brixton Academy 1999;sad
492;TRAFLYQ12903CE7F09.h5;A Small Good Thing;Saguaro;sad
493;TRAFLZC128F92D23B9.h5;Baby Mammoth;Slipping Jigsaws;happy
494;TRAFLZQ128F14760E7.h5;Ernestine Anderson;The Thrill Is Gone (Live Version);sad
495;TRAFMFX128EF352401.h5;The Dirtbombs;Fox Box;sad
496;TRAFMME128F932B4D5.h5;Aiden;Killing Machine;sad
497;TRAFMAA12903CF56C6.h5;Memphis La Blusera;Exactamente Medianoche;happy
498;TRAFMAZ128F92F97FA.h5;Carlos Y José;Al Pie De Un Arbol;happy
499;TRAFMBS128F423B54E.h5;Lalah Hathaway;On Your Own;sad
500;TRAFMCC128F92FA86F.h5;Wheat;Can't Wash It Off;happy
501;TRAFMCX12903CB38D9.h5;Sleepy LaBeef;Good Rockin' Boogie;happy
503;TRAFMDL128F930A985.h5;Kevin Gordon;Great Southern;sad
504;TRAFMDO128F92DDEAD.h5;CDM Project;Sing Hallelujah;happy
505;TRAFMEE128F92D2373.h5;Baby Mammoth;Elephunk;happy
506;TRAFMEF128F9329EE9.h5;Terminal Choice;Call Me;sad
507;TRAFMEG128F424BD02.h5;Deviated Instinct;When The Chapter Closes;sad
508;TRAFMES128F930AB06.h5;Schizoid;Dementia;sad
509;TRAFMEU12903CF8335.h5;Santa Sabina;Duerme Amor;sad
510;TRAFMEW128F932354B.h5;The Kingsmen;On The Way Home;happy
511;TRAFMME12903CAFEA5.h5;Anne Savage;Hellraiser;sad
512;TRAFMMF128F424C6A1.h5;Delmore brothers;Everybody Loves Her;happy
513;TRAFMNG128F93005D0.h5;Santos e Pecadores;Quando se Perde Alguem;sad
514;TRAFMNM128F4251008.h5;Cal Tjader;Manuel's Mambo;happy
515;TRAFMNR128F92E1AC2.h5;Rockin' Squat;Les Gangsters ne vivent pas longtemps (feat. Wyme);happy
516;TRAFMOF12903CC5E45.h5;Skatterman & Snug Brim;Run;sad
517;TRAFMPE128F4245349.h5;James LaBrie;His Voice;sad
518;TRAFMPL128F428E6C3.h5;Desmond Dekker;Cindy;happy
519;TRAFMPX128F428CB9C.h5;Alchemist;Austral Spectrum;sad
520;TRAFMQA12903CDA8D3.h5;Zaïko Langa Langa;Fonsi;happy
521;TRAFMQW128F4240CDE.h5;PUZIQUe;Thomas;sad
522;TRAFMRI12903CF7240.h5;Gameface;Noticed Too Late;happy
523;TRAFMRW128F4268195.h5;Amorphis;Two Moons;sad
524;TRAFMTF128F1489DAE.h5;Bulgarian State Television Female Choir;Svatba (The Wedding);sad
525;TRAFMTU128F42432AC.h5;Symbyosis;Triton (the light guide);sad
526;TRAFMVN128F147CBCE.h5;Metallica;Fade To Black;sad
527;TRAFMWT128F92EE21D.h5;Alfa Rococo;Lever l'ancre;happy
528;TRAFMWU128EF342BED.h5;Elton John;I've Seen The Saucers;sad
529;TRAFMZW12903CF0033.h5;Pistol;Murder Call;happy
530;TRAFMZY128F422DAD8.h5;Dof;A Compass Rose;sad
531;TRAFMFZ128F4291523.h5;Regurgitate;Vaginal Obstriction;happy
532;TRAFMGH128C719646F.h5;Nelly / King Jacob;On The Grind;happy
533;TRAFMHB12903CF4F12.h5;Roger Williams;Cool Water;sad
534;TRAFMHF128F9305CA4.h5;Mahalia Jackson;City Called Heaven;sad
535;TRAFMHL128F92FA101.h5;Crosby & Nash;Michael (Hedges Here);sad
536;TRAFMHR128F147D64D.h5;A.B. Quintanilla III/Abraham Quintanilla;Spoken Liner Note- Missing My Baby;happy
537;TRAFMHR128F423E7AF.h5;Mariachi Arriba Juárez;Una Aventura;happy
538;TRAFMIA128F92E2B2B.h5;Alice Cooper;This House Is Haunted;sad
539;TRAFMII12903CEDF19.h5;Razors Edge;Toxic Toys;sad
540;TRAFMIR128F930C333.h5;The Flower Kings;Painter;sad
541;TRAFMJF128F93248DB.h5;Torn Apart;Evil Eye;sad
542;TRAFMLC12903CAAF71.h5;Jimmie Lunceford & His Orchestra;White Heat;happy
543;TRAFMLZ128EF33EF70.h5;The Frozen Autumn;Evening Falls;happy
544;TRAFNLI12903CE4009.h5;Sam Phillips;Fighting With Fire (Remix);sad
545;TRAFNQP128F92FAA26.h5;Chayanne;Candela;happy
546;TRAFNAH128F42A400D.h5;Dive;Contact;sad
547;TRAFNAM128E07845F5.h5;Ghostface;The Letter;sad
548;TRAFNBF12903D0510B.h5;John Denver;Like A Sad Song;sad
550;TRBRYOZ128F42908F1.h5;John Denver;Like A Sad Song;sad
552;TRAFNBM128F92F4F88.h5;Barbara Lusch;Why Don't You Do Right;sad
553;TRAFNDU12903D0ABEA.h5;Turnstiles;Everythink;sad
554;TRAFNEI128F1458CAA.h5;Brand X;Hate Zone;happy
555;TRAFNFD128F42BA990.h5;Joel Grey / Idina Menzel;Wonderful;sad
556;TRAFNFI128F92EBD37.h5;21 Hertz;Ocean;sad
557;TRAFNFY128F422A943.h5;Bangbros;Bang Rulez;sad
558;TRAFNGA128EF365549.h5;Glampire;Took It Out On You;happy
559;TRAFNGK128F14AC603.h5;Mouse On Mars;Fantastic Analysis;sad
560;TRAFNHF12903CB2D36.h5;Pascal Parisot;Veuillez agréer;sad
561;TRAFNIM128F934AC71.h5;Sacred Reich;I Don't Care;sad
562;TRAFNIX12903CC53FC.h5;Swinging Steaks;Downtown;happy
563;TRAFNJG128F425A375.h5;Will Young;Dance The Night Away;happy
564;TRAFNJL12903CC6CF0.h5;Trailer Choir;Rockin' The Beer Gut (HOLLA Day Version);happy
565;TRAFNKN128F429CF99.h5;Red Rider;Lunatic Fringe;sad
566;TRAFNLL128F425FE74.h5;Neil Norman;The Outer Limits;sad
567;TRAFNLV12903CF2D30.h5;Chris Carrier;Ramblig House (original mix);sad
568;TRAFNMF128F931BC89.h5;8stops7;Not Alive (David Bianco Mix/Original Mix);happy
569;TRAFNNA128F4249487.h5;Osibisa;Abele;happy
570;TRAFNNN128F930EF5D.h5;Robert Hood;Stereotype 3;sad
571;TRAFNNT128F92E4E81.h5;Virtuoso;Beautiful Maria of My Soul;sad
572;TRAFNOA128EF35126B.h5;The Disco Boys;What You Want (Club Mix);happy
573;TRAFNPA128EF34E7A7.h5;Karen Peck And New River;Feels Good To Be Free;happy
574;TRAFNQF128F4262628.h5;Eddie Murphy;Hit By A Car;sad
575;TRAFNQO12903CBB254.h5;Jamiroquai;Cosmic Girl;happy
576;TRAFNRV128F4230C9E.h5;Los Nemus del Pacifico;Tiene Un Huracan;happy
577;TRAFNSQ128F92C9572.h5;Dan Barta;Nejen Ian;sad
578;TRAFNSQ128F934172D.h5;A Hole Inside;When I Crawl;sad
579;TRAFNTY12903CD4AAB.h5;Evil Nine;Restless;happy
580;TRAFNUS128F93054E3.h5;Lay Low;Please Don't Hate Me;sad
581;TRAFNUV128F1495F7E.h5;El Bordo;Intro Peatonal;sad
582;TRAFNVQ12903CE7322.h5;Judy Mowatt;Trade Winds;sad
583;TRAFNWS128F931A45D.h5;Michael Bloomfield;I Must See Jesus;sad
584;TRAFNZH128F42571C9.h5;Don Carlos & Gold;Tear Drops;happy
585;TRAFOMK128F424E913.h5;The Hives;Tick Tick Boom;happy
586;TRAFOBP12903CEAC6C.h5;Run Level Zero;Fever Shriek [sanctum Rmx];sad
587;TRAFOBW12903C93A72.h5;Gee;Go to Afrika;happy
588;TRAFODQ12903CA7EDB.h5;Norris Man;Heat Is On;sad
589;TRAFODU128F4279266.h5;Janis Joplin;Get It While You Can;sad
590;TRAFOEH128F422003F.h5;Kenny Werner;Displivet;happy
591;TRAFOGQ12903CB7433.h5;Chico DeBarge;Slick;sad
592;TRAFOHF128F92E6F54.h5;Kishore Kumar / Asha Bhosle;Ishq Mera Bandagi Hai;happy
593;TRAFOHF128F9315DBC.h5;Dread Zeppelin;Friend Bob Marley;sad
594;TRAFOHJ12903CE49A7.h5;From.UZ;Bell of the Earth;sad
595;TRAFOHK128F425F232.h5;Paul Rodgers;Alright Now;happy
596;TRAFOIB128F92E2A6C.h5;Gary Numan;My Jesus;happy
597;TRAFOJQ128F934FB6B.h5;La Descente Du Coude;Écorniflé caillé;sad
598;TRAFOKY128F4276D91.h5;Dead Prez;Assassination;happy
599;TRAFOKY128F92ED751.h5;David Cook;I Did it for You;sad
600;TRAFOLC12903CFCD5D.h5;Bobina;Trance For Cowboys;happy
601;TRAFOLI128F4282207.h5;Planetshakers;Majesty;sad
602;TRAFOLL12903CB0841.h5;Skytech;Floating Clouds;happy
603;TRAFONN128F93123CC.h5;Cazuza;O Nosso Amor A Gente Inventa (Estória Romântica);happy
604;TRAFONO128F4248100.h5;Knack;A World Of My Own;sad
605;TRAFOOJ128F92E73A4.h5;Ann Peebles;I Can't Stand The Rain;happy
606;TRAFOOT128F93549B5.h5;Ural 13 Diktators;Lazer Attack;sad
607;TRAFOOV12903CDE4ED.h5;Outolintu;Soft Shoe Shuffler;happy
608;TRAFOPS128F42AD103.h5;Bumblebeez;Cherish The Rhymes;happy
609;TRAFOPT12903CCECB3.h5;DYCR;Healing of the Nation;happy
610;TRAFORC12903CC4550.h5;Kenny Bobien;Let Us Adore Him (Come O Ye Faithful);happy
611;TRAFORQ128F933DD7A.h5;The Unsacred Hearts;Will You Be Coming Back to Me?;happy
612;TRAFORR128F42703A1.h5;Wu-Tang Clan;Rules;happy
613;TRAFOTP128F93266A7.h5;Distant Soundz;The Sun Rising;sad
614;TRAFOTS128F42255A6.h5;La Portuaria;Down On The Corner;happy
615;TRAFOTS128F93014B0.h5;Boulbar;La boîte de Pandore;sad
616;TRAFOUG128F4264F4F.h5;Atlantic Brass Quintet;Flourish;sad
617;TRAFOUL128F427C51B.h5;Dr. Hook And The Medicine Show;The Things I Didn't Say;happy
618;TRAFOUR12903CED42A.h5;Alastis;End Or Beginning?;sad
619;TRAFOVE128F93341F8.h5;Whiplash;I Hate Christmas;happy
620;TRAFOVT12903CAF4D8.h5;Deep Wound;Don't Need;sad
621;TRAFOXC128F4270BE7.h5;Oscar D'León;Ponte A Bailar;happy
622;TRAFOXI128F4237B12.h5;I Collage;Magari;sad
623;TRAFOXI12903CBB31E.h5;Skankin' Pickle;You Shouldn't Judge A Man By The Hair On His Butt!!;happy
624;TRAFOZW128F92F1594.h5;Mulberry Lane;Come Dance With Me;happy
625;TRAFPFW128F423B0A6.h5;Modeselektor;We Do It Too;happy
626;TRAFPAG128F932AF91.h5;Sun;Kranke Rapper;happy
627;TRAFPAO12903D067BB.h5;Loop Doctors;Clean Step;happy
628;TRAFPAY128F146B23B.h5;Liars;A Visit From Drum;happy
629;TRAFPAY128F930893C.h5;The New Cars;Just What I Needed;sad
630;TRAFPCO128F4229FD9.h5;The Boomers;Imaginary Lines;sad
631;TRAFPCQ128F423BBA3.h5;Jessi Colter;What's Happened To Blue Eyes;sad
632;TRAFPDD128F92FBBA6.h5;Tom Barabas;More Than Words;sad
633;TRAFPDI128F93037A0.h5;Lowe;Never Felt So Low;happy
634;TRAFPDY128F426869A.h5;Evereve;A New Winter;happy
635;TRAFPEH128F4281ED1.h5;Shigeru Umebayashi;Until the end;sad
636;TRAFPNX128F932E485.h5;Bryn Terfel / Christine Rice / Scottish Chamber Orchestra / Sir Charles Mackerras;V'adoro - Il core vi dono;sad
637;TRAFPNY128F93429C9.h5;Silvestre Dangond & Juancho de La Espriella;Baila Vallenato;happy
638;TRAFPOC12903CD3CA6.h5;Brainstorm;Cross The Line;sad
639;TRAFPOY128F14ABAF3.h5;Louisiana Red & Carey Bell;Arizona Blues;sad
640;TRAFPPP12903CD5D73.h5;Shit Robot;Simple Things (Work It Out);happy
641;TRAFPQH12903CDAA34.h5;Dillard Chandler;Old Shep;sad
642;TRAFPRD128F426262D.h5;My Dad Is Dead;Anti-Socialist;happy
643;TRAFPRK128F42948CF.h5;Asd;Sneak Preview;happy
644;TRAFPSN128F92FA29F.h5;Perception;Year;happy
645;TRAFPSQ128F14700B9.h5;Radio 4;Caroline;happy
646;TRAFPSX128F426303B.h5;Limi-T 21;Me Acordare;happy
647;TRAFPTG128F92FECE3.h5;Tin Cup Prophette;Instrumental;sad
648;TRAFPTS12903D0D5C3.h5;Johnny Thunders;In Cold Blood;sad
649;TRAFPTW128F934ADED.h5;galactic cowboys;Shine;sad
650;TRAFPUH128F4291473.h5;Rumpelstiltskin Grinder;Orange & Black Attack;sad
651;TRAFPVL128F42545DA.h5;Bass Factory 808;Subsonic Frequencies;sad
652;TRAFPVL128F42A8DAB.h5;BeLounge;Echoes;sad
653;TRAFPWS12903CDF737.h5;The Bristols;I'll Be Gone;happy
654;TRAFPXK128F932F2C9.h5;Valerie Simpson;Can't It Wait Until Tomorrow;happy
655;TRAFPXQ128F4241F5C.h5;Failure;Bernie;sad
656;TRAFPZD12903CD02A0.h5;Liverpool;The Fat Lady Sings;happy
657;TRAFPHE128F4267123.h5;Chris Brown;Talking Drum (Isea '95);happy
658;TRAFPIE12903CE8022.h5;Moev;Sadistic Years;sad
659;TRAFPIX128F42369C3.h5;DJ Taz;C.O.G. To The ATL;sad
660;TRAFPJN128F4273B6F.h5;Red;You make me feel;sad
661;TRAFPKJ12903CC6148.h5;Billie Holiday;Good Morning Heartache;sad
662;TRAFPKU128F4262E50.h5;The Dickey Betts Band;Duane's Tune;sad
663;TRAFPKU128F9304FAC.h5;Horse The Band;Desperate Living;sad
664;TRAFPKZ128F92F8278.h5;Bronnt Industries Kapital;European Male;sad
665;TRAFPLF12903CD8AE1.h5;Gabriel Yared;La clé parfumée;sad
666;TRAFPMD128F427B381.h5;Sime Nugent;I'm Away;sad
667;TRAFPMM128F427C0CA.h5;The Love Unlimited Orchestra;Baby Blues;happy
668;TRAFPNA12903CE474B.h5;Joe Satriani;Cool #9;happy
669;TRAFQGN128F425FB8B.h5;The Melodians;Rivers Of Babylon;happy
670;TRAFQBC12903CF5E44.h5;Adema;Better Living Through Chemistry;happy
671;TRAFQBG128F92E9D79.h5;Poster Children;In My Way;sad
672;TRAFQCB12903CD8662.h5;Chrisinti;Searched For Love;happy
673;TRAFQCP128F42198CF.h5;Eden Maine;Solstitium;sad
674;TRAFQDG128F92FD49D.h5;Spike Milligan;Raf Interview;happy
675;TRAFQDO128F92F9066.h5;Kerry Livgren;Wandering Spirit;happy
676;TRAFQEC128F426FFEE.h5;Raymond Scott;Dinner Music For A Pack Of Hungry Cannibals;happy
677;TRAFQEG128F92FC332.h5;Shinehead;The Real Rock;happy
678;TRAFQFB12903D0E932.h5;Stomper 98;Der Wahre Feind;happy
679;TRAFQFD128F9343706.h5;Diesel Boy;Pocket Full Of Stars;happy
680;TRAFQFM128E078EC97.h5;Eminem;The Way I Am;sad
681;TRAFQFV128F9326217.h5;OneRepublic;Good Life;happy
682;TRAFQGI128F932EF80.h5;Dean & Britta;Knives from Bavaria;happy
683;TRAFQNZ128F424A437.h5;Jerry Dimmer;Flavia;happy
684;TRAFQOT128F931A171.h5;Sleepy LaBeef;Dust On The Bible;happy
685;TRAFQPZ128F42450FE.h5;Jon Auer;Tears;sad
686;TRAFQQM128F92E2FD0.h5;Eddie Jones;Perfidia;happy
687;TRAFQRT12903CDD5A6.h5;Astrosoniq;Play It Straight;sad
688;TRAFQSI128F422BC35.h5;Elisa;Luce (Tramonti A Nord Est);sad
689;TRAFQSI128F93019D9.h5;Maxi Priest;Ten To Midnight;happy
690;TRAFQUK128F14988CE.h5;Stephanie Mills;Running For Your Love;happy
691;TRAFQUV128E07826B5.h5;The Human League;Are You Ever Coming Back?;happy
692;TRAFQVA12903CE84C8.h5;The Roc Project;Déjà Vu (Guido Osorio Main Vocal Mix);happy
693;TRAFQVR128F1496C8C.h5;Marco Parente;Il Fascino Del Perdente;sad
694;TRAFQVV128F4260033.h5;Audio Adrenaline;Will Not Fade  (Hit Parade Album Version (new Song));happy
695;TRAFQXD128E0793E82.h5;White Zombie;Grease Paint And Monkey Brains;happy
696;TRAFQXF128F9334EEB.h5;Stéphane Picq;Aube;sad
697;TRAFQXG128F932A7EF.h5;Nick Lowe;So It Goes;sad
698;TRAFQXV128F9330ABB.h5;Soman;Four Voice;sad
699;TRAFQZE128F4281800.h5;Fonzerelli;Moonlight Party  (Outsource Club Remix);sad
700;TRAFQZZ128F421EC6A.h5;Sunshine Blind;Snake Charmer;sad
701;TRAFQGP128F9329499.h5;Praful;Corpo Suado (Phil Martin Remix);happy
702;TRAFQII128F9312E78.h5;Highspire;No Day Like Today;sad
703;TRAFQIV12903CFC000.h5;Milo;Back Into Business;happy
704;TRAFQJK128F92F5EBE.h5;Zeca Baleiro;Blues Do Elevador;sad
705;TRAFQJR128F92ED2BD.h5;Suicidal Romance;Love Beyond Reach;happy
706;TRAFQJX128F933F143.h5;Rudy Vallee;Maine Stein Song;happy
707;TRAFQKX128F9347448.h5;The Lord Weird Slough Feg;Beast In the Broch;happy
708;TRAFQLR12903D00479.h5;Terror;Overcome;happy
709;TRAFQMD128F92D4950.h5;Six Brown Brothers;Battery Acid;sad
710;TRAFQMT128F426B0A4.h5;Greta Y Los Garbo;Ana;sad
711;TRAFQMU128F42A9F7E.h5;The Be Good Tanyas;House Of The Rising Sun;happy
712;TRAFQMX128EF3629A2.h5;Lorenzo Antonio;Tu Solamente Tu;happy
